slot,lost_eth_bid_estimate,lost_eth_nobid_neighborestimate,lost_eth_nobid_avgestimate,lost_eth_bad_recipient,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,temp,proxy_max_bid
5203700,,0.0022315706797254504,0.03283691585612561,,,,,,320536.0,True,0xd20e9C66264Ae040e89C90af0C74bED97fD0BC65,False,True,0.023452414647613103,0.2,2.0,True,0.4,,0.032044087293093264
5204340,0.015924079053906377,,,,0.056994047997827424,Flashbots,,,271080.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.01396778183545755,0.15449811699750418,2.0,True,0.4227509415012479,,0.039125726915013904
5204679,0.00770749948764098,,,,0.02610151348824384,Flashbots,,,269145.0,True,0x790c60D199c9395DfFB605E39a357c4da4ba9DEb,True,True,0.005644698066073922,0.14374355510541245,2.0,True,0.42812822244729376,,0.043718470548524214
5204985,0.0021799092825911153,,,,0.01762093497721869,Blocknative,,,457606.0,True,0x7Cebbe93e945d5c01112C3C999a4607E9f49177F,True,True,0.010835037882256248,0.15,2.0,True,0.425,,0.08562549475003961
5205139,0.0011234286831551903,,,,0.017695753774984713,Flashbots,,,332240.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.01326005378257768,0.1894356974416079,2.0,True,0.40528215127919603,,0.02810692519801285
5205308,0.024383244963907584,,,,0.11003736627402415,Flashbots,,,436124.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.04201422237107961,0.15449811699750418,2.0,True,0.4227509415012479,,0.06296089832713374
5205589,0.008669708253471454,,,,0.02962015357238773,Flashbots,,,260561.0,True,0x157a86bE7F766908C4BfFfd4985826b8aa8fdC2A,True,True,0.006886627947574004,0.1307985850566101,2.0,True,0.43460070747169494,,0.05765265517354529
5205895,,0.007082039955884836,0.034631379935465514,,,,,,260559.0,True,0x8d908Da1899617f8E5A2Ee325Ea4EE8b85e36742,True,True,0.025629621858127293,0.13329552113302492,2.0,True,0.43335223943348755,,0.046327757109666
5205982,0.021999836403468778,,,,0.0547057621914578,Flashbots,,,262080.0,True,0xbe6d5E0883E1256e53a02566D68014D9148542Af,False,True,0.003246948192137671,0.05,2.0,True,0.475,,0.06936519785169719
5206240,,0.08296899444174508,0.03388002861376091,,,,,,430398.0,True,0x53829Cc7E582F5D9945d1bfC0e2Ed8B271202592,True,True,0.02517859128436648,0.15685785096363083,2.0,True,0.4215710745181846,,0.24502452862377044
5206714,0.0181962984863501,,,,0.052029646496671515,Flashbots,,,266616.0,True,0x6125e6DdB5E18CeAecD889ba07fd59C131Ffe20e,False,True,0.007227687593905036,0.08813783323694285,2.0,True,0.45593108338152855,,0.1295859152068564
5206784,0.00033331490602167384,,,,0.03810509984740456,Flashbots,,,332835.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.033700078096257656,0.1894356974416079,2.0,True,0.40528215127919603,,0.04152236713856605
5207098,0.01960305203754377,,,,0.05211032334315317,Flashbots,,,263686.0,True,0x6D714E76AF538fE76aa81a75B556686Ad6002023,True,True,0.004825996552853595,0.07500001009760246,2.0,True,0.46249999495119876,,0.12264895744589648
5207164,0.025951710747170488,,,,0.09191899241679631,Flashbots,,,314559.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.019243193223671157,0.1894356974416079,2.0,True,0.40528215127919603,,0.1136686844827968
5207259,0.007978586270842504,,,,0.06231385209916011,Flashbots,,,471232.0,True,0xCC1fC2Fcf6B3B45F76a69E82CCeDb75a2BbD727C,True,True,0.037682035673074106,0.15,2.0,True,0.425,,0.06034755971963952
5208057,,0.020950768798228252,0.03883321729485542,,,,,,332130.0,True,0x6CE82a2FEB8baB345D14f7a955d2daaE4fF9d83F,True,True,0.0091582010137639,0.19421877595460377,2.0,True,0.4028906120226981,,0.0675061842342117
5208165,-0.0037946501935753048,,,,0.17007354623235996,Flashbots,,,332223.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.16344642289915154,0.1894356974416079,2.0,True,0.40528215127919603,,0.06372655336879086
5209182,0.09395957621325061,,,,0.2586745941912882,Flashbots,,,260913.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.012096803917603713,0.15449811699750418,2.0,True,0.4227509415012479,,0.13551275968094736
5209361,0.0030307607140426063,,,,0.02070040094918056,Flashbots,,,312076.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.011276024550695688,0.1894356974416079,2.0,True,0.40528215127919603,,0.054382823851518304
5209637,0.009529503328752107,,,,0.05047709368353261,Flashbots,,,263378.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.02318965001330071,0.15449811699750418,2.0,True,0.4227509415012479,,0.05021949023053007
5209910,,0.020252425115748377,0.04362086282839522,,,,,,260665.0,True,0x534053EE1101C78C3212c4d851895b885BbC3569,False,True,0.008625019726541646,0.09985545194862226,2.0,True,0.4500722740256889,,0.05918796162002775
5210405,,0.05014864747498322,0.040826024248679836,,,,,,289391.0,True,0x207417bB9cab68286534543a1ABD697d25F71877,True,True,0.007463090912194465,0.16750912136237345,2.0,True,0.4162454393188133,,0.14121886754887042
5211399,-8.684224366491576e-06,,,,0.028306855712712117,Flashbots,,,256451.0,True,0xCc00b35a6bb67C54B174058C809Ec838f360Dd88,True,True,0.02566632021907778,0.16660132153040444,2.0,True,0.4166993392347978,,0.03333924635053132
5211400,0.0016906026098965014,,,,0.02794365246867025,Flashbots,,,332238.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.021145003067631715,0.1894356974416079,2.0,True,0.40528215127919603,,0.03401721023273507
5211420,,0.009196301232941604,0.04189157163946283,,,,,,260597.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,False,True,0.013389229509320031,0.09085007179220761,2.0,True,0.4545749641038962,,0.03710869280369249
5212618,0.0007011676276796991,,,,0.03171074282367378,Blocknative,,,263490.0,True,0xbfaf9BFa09F26EF8104A6d5FF09afdCC9300E5bc,True,True,0.027093830308295985,0.1425685881439163,2.0,True,0.42871570592804187,,0.08125166092855253
5213501,-0.0005849554484972026,,,,0.038960566123490435,Flashbots,,,431072.0,True,0x396611148F9Baf8D3e42d361234e1d402a6Caf47,True,True,0.036673907047182784,0.15,2.0,True,0.425,,0.1192268538675657
5213627,0.0201467638823869,,,,0.07611456122140432,Flashbots,,,436144.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.02130202012244217,0.15449811699750418,2.0,True,0.4227509415012479,,0.06041713883538884
5213719,0.02826243746479928,,,,0.1221075774126093,Flashbots,,,314557.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.04089195834574713,0.1894356974416079,2.0,True,0.40528215127919603,,0.07683511553361383
5213938,0.0028843899286121527,,,,0.038960640106414146,Flashbots,,,314554.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.028180616065879512,0.1894356974416079,2.0,True,0.40528215127919603,,0.04501582660125685
5214236,-0.0007587919366397002,,,,0.05008999469151911,Flashbots,,,300012.0,True,0xbfaf9BFa09F26EF8104A6d5FF09afdCC9300E5bc,True,True,0.04715051325514062,0.1425685881439163,2.0,True,0.42871570592804187,,0.05501996189993063
5214388,0.014926455303427332,,,,0.06613230494278333,Flashbots,,,271088.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.024606709058186103,0.15449811699750418,2.0,True,0.4227509415012479,,0.08830241583753831
5214509,0.00016861858936433838,,,,0.03010680911777976,Blocknative,,,292409.0,True,0xf0e52218A721bec51cFfC3AFC8E3bBb9EfBC8293,True,True,0.026870076471485267,0.16962676811611965,2.0,True,0.4151866159419402,,0.056261152268759385
5214695,0.011831023067471134,,,,0.03709468240203374,Flashbots,,,263408.0,True,0x843546F9DEab5447d239f9cbFc26663cd270c8D5,False,True,0.00746653124603485,0.0948146795764646,2.0,True,0.4525926602117677,,0.05055519216400713
5214754,0.005144431670704346,,,,0.032934828372908974,Flashbots,,,261678.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.017669394078342972,0.15449811699750418,2.0,True,0.4227509415012479,,0.078944520295661
5214844,0.00543968498439803,,,,0.07960853826024052,Eden Network,,,269267.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.059256489178297345,0.15449811699750418,2.0,True,0.4227509415012479,,0.08101677460381672
5215139,,0.020880534399511156,0.03640202828898582,,,,,,422448.0,True,0xb4560B49aed81FFa20A3e86fBF66ecbcae04fb22,True,True,0.0198928730197252,0.15,2.0,True,0.425,,0.07618650426604172
5215347,0.004117016717576895,,,,0.0260486109109044,Flashbots,,,312073.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.01344115600231324,0.1894356974416079,2.0,True,0.40528215127919603,,0.03266662819679084
5215381,,,,0.04485649932236903,,,,,465133.0,True,0x46f543ab65DA23B4C61436DB11e05676ACF6b206,True,False,0.04396723537628815,0.15,2.0,True,0.425,,0.036955877481643126
5215414,0.002399946396421524,,,,0.04174229607539375,Flashbots,,,314567.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.03189606826174414,0.1894356974416079,2.0,True,0.40528215127919603,,0.10513363859185514
5215418,0.010061886470429203,,,,0.02877887114463957,Flashbots,,,453541.0,True,0x4b1F8f33dc62f1be7Ea54A24a0DF37C15E37D662,True,True,0.002398089843117563,0.15,2.0,True,0.425,,0.04952737248211731
5215702,0.01026069121538023,,,,0.04795205581792191,Flashbots,,,450917.0,True,0x34BDD73318e8FE2747f8FF0638a757d366325491,True,True,0.019300859242557655,0.15,2.0,True,0.425,,0.042024961417069996
5215870,0.0026194462961805992,,,,0.02958442490933793,Flashbots,,,269448.0,True,0xb8ed9ea221bf33d37360A76DDD52bA7b1E66AA5C,False,True,0.020606740719541383,0.15449811699750418,2.0,True,0.4227509415012479,,0.04519646934628677
5216543,0.002248044453288852,,,,0.04573105772501584,Flashbots,,,278097.0,True,0xbfaf9BFa09F26EF8104A6d5FF09afdCC9300E5bc,True,True,0.03618780774673642,0.1425685881439163,2.0,True,0.42871570592804187,,0.057986720489163035
5218089,0.0014048569406920398,,,,0.03696524956069152,Flashbots,,,312400.0,True,0xca317A4ecCbe0Dd5832dE2A7407e3c03F88b2CdD,False,True,0.03002345429335297,0.1894356974416079,2.0,True,0.40528215127919603,,0.03567657007868222
5218125,0.28649606674593336,,,,0.798694886280682,Flashbots,,,278086.0,True,0xbfaf9BFa09F26EF8104A6d5FF09afdCC9300E5bc,True,True,0.05533671605822181,0.1425685881439163,2.0,True,0.42871570592804187,,0.2545131051133286
