slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,temp
5723912,,,,,267724.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.01602986029660927,0.15462843343373606,2.0,True,0.422685783283132,
5727391,,,,,268561.0,True,0x75224e800636c3D397bADb4D7c544e09aDDd8E0A,False,False,0.010349830518229386,0.1375,2.0,True,0.43125,
5728355,,,,,266966.0,True,0x5D55f5453619d9DF806f9a9Cb2986A919B4882D1,True,True,0.007888579833757244,0.10935090917099481,2.0,True,0.4453245454145026,
5728634,,,,,391290.0,True,0x83ffB38218B4098904F2399ABf2d281CD4A13998,False,True,0.007438398692151275,0.15,2.0,True,0.425,
5728783,,,,,509977.0,True,0xF6b216dd90873d07e45635AfBBCd1B46A490dd7b,True,True,0.015092337084442313,0.15,2.0,True,0.425,
5730800,,,,,397931.0,True,0x0ccdDA6523B8BCAE8B3Ab407623EE073495C5ee0,True,True,0.007249467588277927,0.15,2.0,True,0.425,
5735306,,,,,438975.0,True,0xdCc67F9197b797140654Dd46E84E1b03D956927b,True,False,0.019698066361109726,0.15,2.0,True,0.425,
5741727,,,,,296880.0,True,0x5945459c5201e21Ff409C9608600D0c0d5f91635,True,False,0.031219499048890955,0.1359280500682679,2.0,True,0.43203597496586604,
5746796,,,,,466229.0,True,0xeB8dBF1f9C2629729c53938db085A313Ed2efFAd,True,False,0.040162037785631266,0.15,2.0,True,0.425,
5748271,,,,,260662.0,True,0x52ECDF3a2ea35A504914F723a181224A94cCA3f2,True,True,0.03086832790304695,0.09992238030820429,2.0,True,0.45003880984589784,
5750948,,,,,441538.0,True,0xb791362a18213852eAf5A0538277Fb473bF86949,True,False,0.02587304811949257,0.15,2.0,True,0.425,
5755713,,,,,331834.0,True,0x8e562B30f1402dC60b20e76613a6076e583d298d,True,False,0.03457583738097739,0.2,2.0,True,0.4,
5761678,,,,,260597.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,True,True,0.017094227698771704,0.09085007179220761,2.0,True,0.4545749641038962,
5761970,,,,,426080.0,True,0x45a551543362461482c0A5Eee033D149c1D04Dd6,False,False,0.029912872853314176,0.15,2.0,True,0.425,
5765589,,,,,431283.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,False,0.024454264461892,0.15,2.0,True,0.425,
5768678,,,,,320536.0,True,0xd20e9C66264Ae040e89C90af0C74bED97fD0BC65,False,True,0.06200184706141038,0.2,2.0,True,0.4,
5772389,,,,,500223.0,True,0xfdE82eA5f35755144b9D0EC901832704cb2164F2,True,False,0.021823706950201093,0.15,2.0,True,0.425,
5773388,,,,,441827.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,True,0.016146357003187298,0.15,2.0,True,0.425,
5776603,,,,,423021.0,True,0xA9c8550BffD4bD11c09da4a807dCC3B87C71B481,True,True,0.00297079413028514,0.15462843343373606,2.0,True,0.422685783283132,
5781079,,,,,416503.0,True,0x315621eC6341b4181Cba6e31844D0dcaaF628463,True,True,0.044267112102619424,0.15,2.0,True,0.425,
5783525,,,,,500223.0,True,0xfdE82eA5f35755144b9D0EC901832704cb2164F2,True,False,0.02893704922082149,0.15,2.0,True,0.425,
5789890,,,,,501499.0,True,0xfdE82eA5f35755144b9D0EC901832704cb2164F2,True,False,0.04853731966801101,0.15,2.0,True,0.425,
5790048,,,,,482163.0,True,0x45dF28a209E2B4Fca5C6d14b6048e66C0133fc99,True,True,0.13362206762846282,0.15,2.0,True,0.425,
5793338,,,,,412338.0,True,0xB0a2Ef3c7680A265692252D212440C7326Ea1792,True,True,0.02417221323154455,0.12778688574505112,2.0,True,0.4361065571274744,
5793940,,,,,510278.0,True,0x9060Cc7200BD2Aa6f7a68E8D5CC57BCc12B93853,True,True,0.04012965855736967,0.14794489979483624,2.0,True,0.42602755010258186,
5795517,,,,,260625.0,True,0x72eD84c5232a8e0bF88aFF101dd9C3fE30fB1AF1,True,True,0.03118592022860984,0.09085007179220761,2.0,True,0.4545749641038962,
5796115,,,,,270743.0,True,0x8392181ccB399806218ea5F4C32d2dcd21d867D1,False,False,0.03918554174800851,0.14117925717166652,2.0,True,0.4294103714141667,
5796371,,,,,332107.0,True,0xed40002F46D76224e44E314a19b2e053e55c4E17,True,True,0.01587260723099098,0.2,2.0,True,0.4,
5800798,,,,,516152.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.04847400078886424,0.15,2.0,True,0.425,
5804854,,,,,403607.0,True,0x0d9fBd3502F0f5060E5a6c958f7b3f9082c16dD4,True,True,0.06332988592070382,0.1678905894969988,2.0,True,0.41605470525150057,
5805218,,,,,518599.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.039313882006695514,0.15,2.0,True,0.425,
5805890,,,,,411470.0,True,0xc992a9F75Fc162B91a481EEf9aeC47465218C91A,True,True,0.027809492601268547,0.15,2.0,True,0.425,
5808912,,,,,274285.0,True,0x62eC513d096BD5949951224c1AA842f74C638b4F,False,True,0.009670143695674724,0.13512771214337702,2.0,True,0.4324361439283115,
5810812,,,,,291600.0,True,0xAE8E389E2940D937f50De697f350DD86f8AEE93b,True,True,0.023040174978323693,0.14372886864981407,2.0,True,0.428135565675093,
5811568,,,,,386458.0,True,0x84996fa06f857Dc6F12c352E90aAd6849F25ff0D,False,True,0.021084361381201667,0.15,2.0,True,0.425,
5815087,,,,,518590.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.024962348935553495,0.15,2.0,True,0.425,
5816554,,,,,509513.0,True,0xF6b216dd90873d07e45635AfBBCd1B46A490dd7b,True,True,0.0125476392663364,0.15,2.0,True,0.425,
5823955,,,,,332120.0,True,0xed40002F46D76224e44E314a19b2e053e55c4E17,True,True,0.01875970656639684,0.2,2.0,True,0.4,
5825364,,,,,518593.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.027348578543331524,0.15,2.0,True,0.425,
5829421,,,,,332119.0,True,0xed40002F46D76224e44E314a19b2e053e55c4E17,True,True,0.01610022668862363,0.2,2.0,True,0.4,
5830119,,,,,518607.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.029531232764284373,0.15,2.0,True,0.425,
5833271,,,,,329944.0,True,0x16A3a243D1910Ba2686294054F057A954BA0E705,False,True,0.1631760415625575,0.2,2.0,True,0.4,
5834820,,,,,518593.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.023672897085504248,0.15,2.0,True,0.425,
5836839,,,,,399229.0,True,0xb745EeDa2dB353a3E649A3774Fa759533CAf49F8,True,True,0.04155577183935546,0.15,2.0,True,0.425,
5838562,,,,,519976.0,True,0x92B0815C439BA02339D32f44E1cFD5F5d1E4883C,False,True,0.03838335502642718,0.15,2.0,True,0.425,
5839902,,,,,302377.0,True,0x4Cda7590079425792310D57FcF841a99e3f008eE,False,True,0.021460407155602736,0.18839208662834347,2.0,True,0.40580395668582825,
5840621,,,,,329465.0,True,0xc2E11bA3A515240Fc4D0f4a86B8BB79dF26f9F8c,False,True,0.012144653647173672,0.18263953109352302,2.0,True,0.4086802344532385,
5842234,,,,,312954.0,True,0x4Cda7590079425792310D57FcF841a99e3f008eE,False,True,0.004495168368682529,0.18839208662834347,2.0,True,0.40580395668582825,
5844009,,,,,403549.0,True,0x75224e800636c3D397bADb4D7c544e09aDDd8E0A,False,True,0.02897897212358349,0.1375,2.0,True,0.43125,
5848917,,,,,518607.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.020636358541479615,0.15,2.0,True,0.425,
5850151,,,,,518580.0,True,0x6BBbA538C14D36eE92dd3941Afe52736c5cFb842,False,True,0.023207693282633363,0.15,2.0,True,0.425,
5855040,,,,,272661.0,True,0x7f52ADd1899886153A53B2b7A84A49417aCD4BEC,False,True,0.051439342824175255,0.19946911073263046,2.0,True,0.40026544463368474,
5856413,,,,,516629.0,True,0xB81E87018Ec50d17116310c87b36622807581fa6,False,True,0.03612505378206569,0.15,2.0,True,0.425,
